"2025-07-19 12:00:00","Longueuil",23.71172,40.25,13.25,45977
"2025-07-19 12:01:00","Longueuil",23.71531,40.32,13.29,45977
"2025-07-19 12:02:00","Longueuil",23.71559,40.21,13.29,45977
"2025-07-19 12:03:00","Longueuil",23.72139,40.23,13.27,45977
"2025-07-19 12:04:00","Longueuil",23.71968,40.25,13.24,45977
"2025-07-19 12:05:00","Longueuil",23.72664,40.25,13.26,45977
"2025-07-19 12:06:00","Longueuil",23.7287,40.23,13.23,45977
"2025-07-19 12:07:00","Longueuil",23.72971,40.2,13.2,45977
"2025-07-19 12:08:00","Longueuil",23.72681,40.3,13.21,45977
"2025-07-19 12:09:00","Longueuil",23.7348,40.25,13.2,45977
"2025-07-19 12:10:00","Longueuil",23.74227,40.14,13.19,45977
"2025-07-19 12:11:00","Longueuil",23.74281,40.28,13.18,45977
"2025-07-19 12:12:00","Longueuil",23.74283,40.24,13.2,45977
"2025-07-19 12:13:00","Longueuil",23.75072,40.14,13.24,45977
"2025-07-19 12:14:00","Longueuil",23.75131,40.31,13.21,45977
"2025-07-19 12:15:00","Longueuil",23.75582,40.24,13.22,45977
"2025-07-19 12:16:00","Longueuil",23.75822,40.3,13.26,45977
"2025-07-19 12:17:00","Longueuil",23.75862,40.32,13.27,45977
"2025-07-19 12:18:00","Longueuil",23.76318,40.3,13.25,45977
"2025-07-19 12:19:00","Longueuil",23.76498,40.27,13.24,45977
"2025-07-19 12:20:00","Longueuil",23.76327,40.25,13.22,45977
"2025-07-19 12:21:00","Longueuil",23.76266,40.22,13.22,45977
"2025-07-19 12:22:00","Longueuil",23.76904,40.24,13.2,45977
"2025-07-19 12:23:00","Longueuil",23.77379,40.27,13.21,45977
"2025-07-19 12:24:00","Longueuil",23.77416,40.24,13.21,45977
"2025-07-19 12:25:00","Longueuil",23.76727,40.19,13.25,45977
"2025-07-19 12:26:00","Longueuil",23.77592,40.31,13.26,45977
"2025-07-19 12:27:00","Longueuil",23.77522,40.29,13.26,45977
"2025-07-19 12:28:00","Longueuil",23.77663,40.17,13.25,45977
"2025-07-19 12:29:00","Longueuil",23.77846,40.27,13.29,45977
"2025-07-19 12:30:00","Longueuil",23.77595,40.32,13.29,45977
"2025-07-19 12:31:00","Longueuil",23.78817,40.27,13.3,45977
"2025-07-19 12:32:00","Longueuil",23.78235,40.24,13.3,45977
"2025-07-19 12:33:00","Longueuil",23.79034,40.3,13.31,45977
"2025-07-19 12:34:00","Longueuil",23.79311,40.37,13.36,45977
"2025-07-19 12:35:00","Longueuil",23.79626,40.21,13.33,45977
"2025-07-19 12:36:00","Longueuil",23.79942,40.28,13.33,45977
"2025-07-19 12:37:00","Longueuil",23.79848,40.33,13.33,45977
"2025-07-19 12:38:00","Longueuil",23.80235,40.37,13.32,45977
"2025-07-19 12:39:00","Longueuil",23.80597,40.18,13.3,45977
"2025-07-19 12:40:00","Longueuil",23.80822,40.26,13.27,45977
"2025-07-19 12:41:00","Longueuil",23.81215,40.25,13.27,45977
"2025-07-19 12:42:00","Longueuil",23.81617,40.3,13.28,45977
"2025-07-19 12:43:00","Longueuil",23.81843,40.31,13.27,45977
"2025-07-19 12:44:00","Longueuil",23.81866,40.33,13.3,45977
"2025-07-19 12:45:00","Longueuil",23.811,40.17,13.25,45977
"2025-07-19 12:46:00","Longueuil",23.8223,40.19,13.24,45977
"2025-07-19 12:47:00","Longueuil",23.81987,40.21,13.27,45977
"2025-07-19 12:48:00","Longueuil",23.82478,40.49,13.26,45977
"2025-07-19 12:49:00","Longueuil",23.82824,40.25,13.27,45977
"2025-07-19 12:50:00","Longueuil",23.83268,40.21,13.28,45977
"2025-07-19 12:51:00","Longueuil",23.82974,40.22,13.24,45977
"2025-07-19 12:52:00","Longueuil",23.83305,40.24,13.24,45977
"2025-07-19 12:53:00","Longueuil",23.83552,40.21,13.21,45977
"2025-07-19 12:54:00","Longueuil",23.83602,40.24,13.22,45977
"2025-07-19 12:55:00","Longueuil",23.84504,40.33,13.21,45977
"2025-07-19 12:56:00","Longueuil",23.84357,40.29,13.2,45977
"2025-07-19 12:57:00","Longueuil",23.85085,40.29,13.18,45977
"2025-07-19 12:58:00","Longueuil",23.85114,40.28,13.21,45977
"2025-07-19 12:59:00","Longueuil",23.85302,40.33,13.23,45977
